"id","statistic","observed","low","median","high","upper_tail"
"case08","mean_xobs",-0.0944819095370984,-0.316600888554477,-0.0916457260077463,0.137987581664843,0.5078125
"case08","mean_y",-0.0894048636608797,-0.289901309315386,-0.0892540028425173,0.11724463039674,0.500375
"case08","sd_xobs",1.2518249284733,1.09330336876704,1.24280112929656,1.41425396328919,0.46575
"case08","sd_y",1.09508705271065,0.961117153265362,1.09799353016818,1.25161759471247,0.5111875
"case08","cov_xobs_y",0.899033062885555,0.618716139039655,0.889987692176163,1.23234667418344,0.48075
"case09","mean_xobs",-0.0944819095370984,-0.323886813298504,-0.0921031349168901,0.138513269407012,0.5073125
"case09","mean_y",-0.0894048636608797,-0.289482520798741,-0.0874233777819976,0.113607097985572,0.5065625
"case09","sd_xobs",1.2518249284733,1.09304602104173,1.24456263658325,1.41583485791777,0.469
"case09","sd_y",1.09508705271065,0.961847892503764,1.09579373356524,1.249711969918,0.5038125
"case09","cov_xobs_y",0.899033062885555,0.620171890882708,0.886268669653611,1.23189155104925,0.4733125
"case10","mean_xobs",-0.0944819095370984,-0.325872424714696,-0.0919090179681515,0.137929782643141,0.508
"case10","mean_y",-0.0894048636608797,-0.289246045667582,-0.0876707602927109,0.115726830504545,0.5065
"case10","sd_xobs",1.2518249284733,1.0904766445341,1.24471185225184,1.41817678770788,0.472
"case10","sd_y",1.09508705271065,0.960997804007855,1.09523258292338,1.25239208853955,0.5006875
"case10","cov_xobs_y",0.899033062885555,0.622703208232126,0.890637925929092,1.24026751725204,0.4829375
"case11","mean_xobs",-0.0944819095370984,-0.324487138719105,-0.0940281151895834,0.139970870057698,0.5010625
"case11","mean_y",-0.0894048636608797,-0.287719090409499,-0.087911765979366,0.115182915311534,0.5053125
"case11","sd_xobs",1.2518249284733,1.11378144853041,1.26216998574422,1.43203102532,0.5444375
"case11","sd_y",1.09508705271065,0.957022016401707,1.09182882551384,1.24190932991565,0.4846875
"case11","cov_xobs_y",0.899033062885555,0.627041840279589,0.900432017933844,1.23742934093765,0.5033125
"case12","mean_xobs",-0.0944819095370984,-0.318253665555098,-0.0939667755746073,0.135188493556798,0.5011875
"case12","mean_y",-0.0894048636608797,-0.291455834908632,-0.0880607483572735,0.114474792410832,0.5040625
"case12","sd_xobs",1.2518249284733,1.08164505575319,1.22861614734974,1.40203437597369,0.4040625
"case12","sd_y",1.09508705271065,0.961919421115908,1.09609417033413,1.24959604034819,0.5038125
"case12","cov_xobs_y",0.899033062885555,0.619456806058763,0.884201705207506,1.22354813871884,0.46925
"case13","mean_xobs",-0.0944819095370984,-0.322636938567572,-0.0937844316634812,0.141893740346811,0.5016875
"case13","mean_y",-0.0894048636608797,-0.291053663603464,-0.0904344273663997,0.115698636770601,0.4969375
"case13","sd_xobs",1.2518249284733,1.09098027904231,1.23930194591962,1.40898385830138,0.4488125
"case13","sd_y",1.09508705271065,0.960913024703308,1.09529625305295,1.24630402058372,0.50075
"case13","cov_xobs_y",0.899033062885555,0.623331404404395,0.888977883936406,1.23013861153809,0.4781875
"case14","mean_xobs",-0.0944819095370984,-0.323132332469368,-0.0929618866583354,0.131358276499565,0.504125
"case14","mean_y",-0.0894048636608797,-0.290919867037255,-0.0889339066933934,0.112065949684133,0.50175
"case14","sd_xobs",1.2518249284733,1.08753636003523,1.23425836372042,1.40181622991329,0.426125
"case14","sd_y",1.09508705271065,0.960394549687498,1.09473239904389,1.24897986393728,0.498375
"case14","cov_xobs_y",0.899033062885555,0.627175963693966,0.89354226400311,1.22967355068087,0.4885625
